Date, Ticker, Open, High, Low, Close, Volume
20090821,ZMH,46.97,47.75,46.82,47.24,20925
20090824,ZMH,48.44,49,47.86,47.96,21776
20090825,ZMH,47.95,48.59,47.61,48.14,23235
20090826,ZMH,47.89,48.96,47.82,48.55,20250
20090827,ZMH,48.48,48.64,47.8,48.56,15259
20090828,ZMH,48.73,48.78,47.23,47.96,15019
20090831,ZMH,47.77,48.1,46.99,47.35,17740
20090901,ZMH,47.14,47.63,46.28,46.6,22692
20090902,ZMH,46.39,46.61,46.01,46.24,18075
20090903,ZMH,46.5,47.5,46.18,47.44,25385
20090904,ZMH,47.33,49.94,47.2,49.11,52712
20090909,ZMH,48.82,50.4,48.82,49.55,24502
20090910,ZMH,49.77,49.96,49.11,49.96,11564
20090911,ZMH,49.92,51.03,49.74,50.59,25496
20090914,ZMH,50.58,50.65,49.83,50.62,12964
20090915,ZMH,50.615,51.17,50.16,50.89,18855
20090916,ZMH,50.89,51.28,50.68,51.26,16203
20090917,ZMH,51.07,51.342,50.38,50.7,19480
20090918,ZMH,50.73,51.26,50.51,51.12,18668
20090921,ZMH,51.55,53.7,51.45,52.68,30306
20090922,ZMH,52.67,53.04,52.17,52.43,25050
20090923,ZMH,52.58,53.195,51.9524,52.83,32596
20090924,ZMH,52.82,52.87,51.96,52.11,36964
20090925,ZMH,52.22,53.48,52.08,52.92,41161
20090928,ZMH,53.04,54.55,53.01,53.91,28476
20090929,ZMH,53.86,54,53.18,53.6,39062
20090930,ZMH,54.99,55.25,53.21,53.45,34637
20091001,ZMH,53.4,53.46,52.75,52.75,34574
20091002,ZMH,52.39,52.44,51.46,51.5,44754
20091005,ZMH,51.39,52.6,51.27,52.45,22554
20091006,ZMH,50.61,51.52,49.14,51.45,45144
20091007,ZMH,51.24,51.71,51.2,51.6,22857
20091008,ZMH,51.82,52.47,51.66,52,40923
20091009,ZMH,51.1,52.48,50.61,52.38,24517
20091012,ZMH,52.38,52.55,52.18,52.49,13188
20091013,ZMH,52.52,52.66,52.04,52.23,18716
20091014,ZMH,52.42,52.59,51.44,52.04,26764
20091015,ZMH,51.86,52.35,51.76,52.14,12905
20091016,ZMH,51.89,52.49,51.49,51.92,22012
20091019,ZMH,51.9,52.11,51.65,51.91,17539
20091020,ZMH,51.83,51.9,50.68,50.95,19569
20091021,ZMH,51.91,53.72,51.65,52.23,46653
20091022,ZMH,53.71,55.31,52.25,55.04,42315
20091023,ZMH,54.85,55.61,54.501,54.71,22360
20091026,ZMH,55.1,55.76,54.0019,54.26,22586
20091027,ZMH,54.21,55.15,54.2,54.3,17558
20091028,ZMH,54.175,54.28,52.97,53.1,19761
20091105,ZMH,53.49,54.61,53.49,54.5,11235
20091106,ZMH,54.25,54.64,53.68,53.77,13715
20091109,ZMH,53.83,54.99,53.74,54.94,11428
20091110,ZMH,54.7,55.83,54.7,55.71,8616
20091111,ZMH,56.1,56.27,54.9,55.32,13706
20091112,ZMH,55.27,55.83,54.93,55.16,12722
20091113,ZMH,55.07,56.04,54.92,55.59,23661
20091116,ZMH,55.76,56.17,55.61,55.79,18602
20091117,ZMH,55.55,56.95,55.51,56.75,19772
20091118,ZMH,57.09,58.205,57.09,58.03,25687
20091119,ZMH,57.79,58.08,56.33,56.86,19974
20091120,ZMH,56.61,57.055,55.64,56.92,21451
20091123,ZMH,57.21,58.2,57.04,57.96,14604
20091124,ZMH,58.11,58.47,57.46,58.34,15153
20091125,ZMH,58.55,59.31,58.39,59.11,14312
20091127,ZMH,57.93,59.07,56.83,58.52,9587
20091130,ZMH,58.93,59.41,58.45,59.17,19577
20091201,ZMH,59.61,59.68,58.56,58.75,20494
20091202,ZMH,58.74,59.24,58.65,58.97,16630
20091203,ZMH,58.9,59.44,58.09,58.14,31872
20091204,ZMH,58.39,59.12,58.13,58.91,14067
20091207,ZMH,58.61,59.65,58.61,59.12,9616
20091208,ZMH,58.61,58.865,57.995,58.43,20488
20091209,ZMH,58.29,58.5,57.42,57.91,15791
20091210,ZMH,58.31,59.48,58.2,59.21,11036
20091211,ZMH,59.1,59.59,59.07,59.36,11731
20091214,ZMH,59.5,60.23,59.5,59.88,9469
20091215,ZMH,59.88,60.5,59.42,60.07,14087
20091216,ZMH,59.86,60.639,59.27,59.36,15630
20091217,ZMH,59.14,59.35,58.65,58.68,14289
20091218,ZMH,58.26,58.74,57.55,58.47,17988
20091221,ZMH,58.65,59.48,58.65,58.88,6740
20091222,ZMH,58.8,59.5,58.8,59.44,6192
20091223,ZMH,59.64,60.11,59.21,60.07,7642
20091224,ZMH,60.14,60.31,60.01,60.27,2344
20091228,ZMH,60.28,60.52,59.96,60.34,5452
20091229,ZMH,60.28,60.46,60.02,60.18,5901
20091230,ZMH,60.14,60.22,59.56,59.76,5770
20091231,ZMH,59.65,59.89,59.05,59.11,5622
20100104,ZMH,59.31,60.138,59.31,60.02,7823
20100105,ZMH,61.32,61.98,60.65,61.92,17180
20100106,ZMH,62.06,62.12,61.47,61.9,12772
20100107,ZMH,62.85,63.7,62.16,63.32,16834
20100108,ZMH,61.81,62.84,61.1,61.99,21494
20100111,ZMH,62.4,63.81,62.2,63.36,14259
20100112,ZMH,63.2,63.56,61.73,62.14,14761
20100113,ZMH,62.26,62.79,61.732,62.55,7663
20100114,ZMH,62.4,62.87,62.15,62.73,7552
20100115,ZMH,62.62,62.69,61.45,61.75,14314
20100119,ZMH,61.94,63.74,61.9,63.71,16565
20100120,ZMH,63.7,64.77,62.04,62.53,15445
20100121,ZMH,62.45,63,61.19,61.35,10379
20100122,ZMH,62.1,63.01,60.56,60.59,16665
20100125,ZMH,61.22,62.15,60.53,60.84,18860
20100126,ZMH,60.68,61.16,60.42,60.66,13693
20100127,ZMH,60.47,60.47,58.89,59.88,16550
20100128,ZMH,58.25,59.28,56.525,56.85,34956
20100129,ZMH,56.94,56.97,55.35,56.32,35144
20100201,ZMH,56.46,57.09,55.57,57.03,20724
20100202,ZMH,57.11,58.52,56.95,58.3,21734
20100203,ZMH,58.17,58.17,57.06,57.13,12720
20100204,ZMH,56.59,56.88,55.57,55.62,16189
20100205,ZMH,55.5,55.59,54.715,55.43,17268
20100208,ZMH,55.21,56.31,55.21,55.42,13381
20100209,ZMH,55.89,56.53,55.57,56.08,15189
20100210,ZMH,56.01,57.22,55.9,56.68,25307
20100211,ZMH,56.42,57.94,56.42,57.6,23962
20100212,ZMH,57.05,57.43,56.56,57.24,11565
20100216,ZMH,57.47,58.36,57.34,58.36,10001
20100217,ZMH,58.42,58.54,58.02,58.34,9841
20100218,ZMH,58.12,58.49,57.995,58.4,7671
20100219,ZMH,58.19,58.62,57.65,58.1,10723
20100222,ZMH,58.1,58.31,57.73,58.14,7014
20100223,ZMH,57.94,58.02,57.02,57.38,8207
20100224,ZMH,57.47,57.9119,57.2125,57.44,10715
20100225,ZMH,57.07,57.32,56.48,57.24,10541
20100226,ZMH,57.22,57.76,57,57.33,9174
20100301,ZMH,57.43,58.57,57.28,58.23,11322
20100302,ZMH,58.44,59.32,58.23,59.06,9640
20100303,ZMH,59,59.238,58.72,59.04,8691
20100304,ZMH,59.15,59.15,58.5,58.78,11724
20100305,ZMH,58.87,60.3,58.79,60.1,16141
20100308,ZMH,60.13,60.52,59.51,59.55,10254
20100309,ZMH,59.18,59.48,59.04,59.11,12027
20100310,ZMH,58.94,59.07,58.5,58.86,12563
20100311,ZMH,58.65,58.76,56.1,57.03,90284
20100312,ZMH,57.44,59.3,57.44,59.24,47467
20100315,ZMH,58.98,59.35,58.005,58.24,26438
20100316,ZMH,58.45,58.65,57.39,57.81,19644
20100317,ZMH,57.84,58,57.41,57.64,21723
20100318,ZMH,57.64,57.79,57.33,57.44,17290
20100319,ZMH,57.58,57.58,56.23,56.97,24385
20100322,ZMH,57.01,58.27,56.82,58.2,33065
20100323,ZMH,58.27,58.61,57.57,58.46,14680
20100324,ZMH,58.19,58.63,57.96,58.05,9937
20100325,ZMH,58.35,58.35,57.46,57.48,13277
20100326,ZMH,57.7,57.98,57.15,57.31,12236
20100329,ZMH,57.39,58.68,57.34,58.61,14746
20100330,ZMH,58.54,59.11,58.28,59.03,17544
20100331,ZMH,58.9,59.43,58.71,59.2,19660
20100401,ZMH,59.42,59.99,59.33,59.99,15082
20100405,ZMH,60.09,60.26,59.35,59.5,11406
20100406,ZMH,59.27,59.66,58.8,58.95,18564
20100407,ZMH,58.83,59.45,58.5,59.08,19936
20100408,ZMH,58.88,59.23,58.6,59.08,13584
20100409,ZMH,58.99,59.56,58.8,59.55,10642
20100412,ZMH,59.55,59.81,59.29,59.34,7347
20100413,ZMH,59.27,60.15,59.06,60.09,13177
20100414,ZMH,60.02,61.12,59.73,61.03,22144
20100415,ZMH,61.48,62.34,60.77,61,26512
20100416,ZMH,60.85,61.11,59.8,60.48,19653
20100419,ZMH,60.23,60.53,59.66,60.37,11786
20100420,ZMH,60.66,61.29,60.66,61.18,19730
20100421,ZMH,61.09,61.09,59.855,60.22,25206
20100422,ZMH,59.29,60.64,58.5,60.62,28113
20100423,ZMH,60.66,61.12,60.31,60.97,23239
20100426,ZMH,62.11,62.5,61.02,61.14,36164
20100427,ZMH,60.95,61.68,60.63,60.82,24381
20100428,ZMH,61.13,61.93,60.73,61.45,24634
20100429,ZMH,61.87,61.97,61.38,61.61,27716
20100430,ZMH,61.52,61.97,60.5,60.91,14361
20100503,ZMH,60.96,61.49,60.58,61.33,7074
20100504,ZMH,60.68,61.08,60,60.24,14451
20100505,ZMH,59.86,60.335,59.48,60.31,22806
20100506,ZMH,60,61.07,57.67,59.74,44509
20100507,ZMH,59.42,59.6,57.72,58.5,35117
20100510,ZMH,60.42,61.44,59.91,60.88,19661
20100511,ZMH,60.62,61.24,60.06,60.7,15734
20100512,ZMH,60.93,61.23,60.45,61.1,22779
20100513,ZMH,60.97,61.2,60.65,60.65,10647
20100514,ZMH,60.5,60.58,59.27,59.56,9693
20100517,ZMH,59.66,60.01,58.15,59.04,24474
20100518,ZMH,59.17,59.885,58.62,58.7,11602
20100519,ZMH,58.58,58.81,58,58.37,10743
20100520,ZMH,57.45,57.46,56.07,56.07,17616
20100521,ZMH,55.05,56.57,54.71,55.83,28930
20100524,ZMH,55.34,56.67,55.32,55.61,23218
20100525,ZMH,54.66,54.88,53.58,54.85,23733
20100526,ZMH,55.18,55.37,54.12,54.23,27968
20100527,ZMH,54.92,55.35,54.48,55.32,16199
20100528,ZMH,55.25,56.45,55.09,55.93,29246
20100601,ZMH,55.36,55.36,54.1,54.17,32351
20100602,ZMH,54.17,55.1,53.89,55.1,16514
20100603,ZMH,55.59,55.67,54.8,55.23,21215
20100604,ZMH,54.32,54.69,53.01,53.18,25716
20100607,ZMH,53.44,53.5875,52.63,52.66,15399
20100608,ZMH,52.75,53.25,52.26,52.99,22157
20100609,ZMH,53.28,54.17,53,53.22,25711
20100610,ZMH,53.85,54.23,53.63,54.06,19521
20100611,ZMH,53.38,54.23,53.27,54.01,16250
20100614,ZMH,54.03,54.58,53.58,53.66,18318
20100615,ZMH,53.88,54.56,53.8,54.36,26140
20100616,ZMH,54.47,55.35,53.23,55.16,22503
20100617,ZMH,55.2,55.22,54.57,55.01,13529
20100618,ZMH,55.07,55.29,54.64,55.05,32032
20100621,ZMH,55.68,56.03,54.77,55,21068
20100622,ZMH,55.11,55.4298,54.53,54.58,17350
20100623,ZMH,54.55,54.55,53.52,54.18,16317
20100624,ZMH,53.89,53.89,53.03,53.21,18487
20100625,ZMH,53.36,53.45,52.9,53.27,18137
20100628,ZMH,53.18,54.96,53.04,54.57,26433
